,song,artist,chord_progression,key
0,Harvest Moon,Neil Young,"['C', 'Am', 'G', 'Bm', 'C', 'Am', 'Em', 'G']",C
1,Harvest Moon,Neil Young,"['A', 'F#m', 'D', 'D']",A
2,Harvest Moon,Neil Young,"['G', 'Em', 'C', 'C']",G
3,Harvest Moon,Neil Young,"['G', 'Dsus4', 'G', 'Dsus4', 'G', 'Dsus4']",G
4,Harvest Moon,Neil Young,"['G', 'C', 'C', 'G', 'C']",G
5,Harvest Moon,Neil Young,"['B', 'B', 'B', 'B', 'B']",B
6,Harvest Moon,Neil Young,"['G', 'Bm', 'C', 'Am']",G
7,Harvest Moon,Neil Young,['B'],B
8,Harvest Moon,Neil Young,"['Dm', 'Dm7', 'Bb', 'C']",F
9,Harvest Moon,Neil Young,"['A', 'F#m', 'D', 'D']",A
10,Harvest Moon,Neil Young,"['G', 'Em', 'C', 'C']",G
11,Harvest Moon,Neil Young,"['G', 'Dsus4']",G
12,Harvest Moon,Neil Young,"['C', 'G', 'C']",C
13,Harvest Moon,Neil Young,"['G', 'F', 'C']",C
14,Harvest Moon,Neil Young,"['B', 'B', 'B']",B
15,Unplugged,Neil Young,"['C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F']",C
16,Unplugged,Neil Young,"['F', 'C', 'Bb', 'C']",F
17,Unplugged,Neil Young,"['G', 'Bm', 'C', 'Am', 'Em', 'G', 'C', 'Am']",G
18,Unplugged,Neil Young,"['F', 'C', 'Bb', 'C', 'F', 'Bb', 'C']",F
19,Unplugged,Neil Young,"['C', 'G', 'F']",C
20,Unplugged,Neil Young,"['Am', 'G', 'F', 'Em', 'G']",C
21,Unplugged,Neil Young,"['G', 'C', 'C', 'G', 'C']",G
22,Unplugged,Neil Young,"['D', 'Am', 'C', 'G']",G
23,Unplugged,Neil Young,"['D', 'D', 'Em', 'D']",D
24,Unplugged,Neil Young,"['Bb', 'C', 'F', 'C']",F
25,Unplugged,Neil Young,"['F', 'C', 'Bb', 'C']",F
26,Unplugged,Neil Young,"['Am', 'G', 'F', 'Em']",C
27,Unplugged,Neil Young,"['G', 'C', 'G', 'F']",C
28,Unplugged,Neil Young,"['G', 'D']",G
29,Unplugged,Neil Young,"['G', 'C', 'G']",G
30,Unplugged,Neil Young,"['C', 'G', 'G']",C
31,Unplugged,Neil Young,"['C', 'G', 'D']",G
32,Unplugged,Neil Young,"['E', 'E', 'E']",E
33,Unplugged,Neil Young,"['A', 'E', 'D']",A
34,Unplugged,Neil Young,"['Bb', 'C', 'F']",F
35,Unplugged,Neil Young,"['C', 'G', 'F']",C
36,Unplugged,Neil Young,"['C', 'G', 'C']",C
37,Unplugged,Neil Young,"['D', 'Dsus4', 'D']",D
38,Unplugged,Neil Young,"['G', 'F', 'C']",C
39,Los Angeles,X,"['C', 'Bb', 'C', 'Bb', 'C', 'Bb']",F
40,Los Angeles,X,"['C', 'Bb']",F
41,Los Angeles,X,"['D', 'E']",A
42,Better Man,Robbie Williams,"['G5', 'Em', 'C2', 'Dsus4', 'D']",G
43,Better Man,Robbie Williams,"['D', 'G5', 'Em', 'C2', 'Dsus4']",G
44,Angels,Robbie Williams,"['E', 'Asus2', 'A', 'C#m', 'B']",E
45,Angels,Robbie Williams,"['D', 'A', 'E']",A
46,The Difference,The Wallflowers,"['E', 'C#m', 'B', 'E', 'A', 'E', 'A', 'C#m', 'B']",E
47,The Difference,The Wallflowers,"['E', 'C#m', 'B', 'A']",E
48,The Difference,The Wallflowers,"['C#m', 'B', 'A', 'E']",E
49,The Difference,The Wallflowers,"['C#m', 'B', 'E']",E
50,That Thing You Do Title Song,Misc Soundtrack,"['E', 'A', 'B']",E
51,That Thing You Do Title Song,Misc Soundtrack,"['B', 'E', 'A']",E
52,Flying Without Wings,Westlife,"['G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G']",G
53,Flying Without Wings,Westlife,"['G', 'Em', 'C', 'D', 'G']",G
54,Flying Without Wings,Westlife,"['G', 'Em', 'C', 'D']",G
55,Flying Without Wings,Westlife,"['D', 'G', 'Em', 'C']",G
56,I Lay My Love On You,Westlife,"['D', 'Em', 'Em', 'D']",D
57,I Lay My Love On You,Westlife,"['A', 'E', 'B']",E
58,Fool Again,Westlife,"['C', 'G', 'F', 'G', 'C']",C
59,Blister In The Sun,Violent Femmes,"['G', 'C', 'G', 'C', 'G', 'C', 'G']",G
60,Blister In The Sun,Violent Femmes,"['G', 'C', 'G', 'C', 'G']",G
61,Blister In The Sun,Violent Femmes,"['G', 'C', 'G']",G
62,After Hours,The Velvet Underground,"['Dm', 'G', 'C']",C
63,Femme Fatale,The Velvet Underground,"['C', 'F']",C
64,We Belong Together,Ritchie Valens,"['F', 'Dm', 'Gm', 'C']",F
65,We Belong Together,Ritchie Valens,"['F', 'Dm', 'Gm', 'C']",F
66,We Belong Together,Ritchie Valens,"['C', 'F', 'Dm', 'Gm']",F
67,Beautiful Day,U2,"['A', 'Bm', 'D', 'G', 'D', 'A']",D
68,Beautiful Day,U2,"['G', 'D', 'A', 'A', 'Bm', 'D']",D
69,Beautiful Day,U2,"['F#m', 'G', 'D', 'A']",D
70,Beautiful Day,U2,"['D', 'Em', 'G']",D
71,Stuck In A Moment You Cant Get Out Of,U2,"['B', 'C#m', 'A', 'E', 'E', 'E/G#', 'A', 'E/G#']",E
72,Stuck In A Moment You Cant Get Out Of,U2,"['E', 'E', 'E/G#', 'A', 'E/G#', 'B', 'C#m', 'A']",E
73,Stuck In A Moment You Cant Get Out Of,U2,"['E', 'E/G#', 'A', 'E/G#', 'B', 'C#m', 'A', 'E']",E
74,Stuck In A Moment You Cant Get Out Of,U2,"['A', 'E', 'F#m']",A
75,With Or Without You,U2,"['D', 'A', 'Bm', 'G']",D
76,With Or Without You,U2,"['D', 'A', 'Bm', 'G']",D
77,Back For Good,Take That,"['E', 'F#m', 'A', 'B']",E
78,Back For Good,Take That,"['A', 'B', 'E', 'F#m']",E
79,Back For Good,Take That,"['B', 'E', 'F#m', 'A']",E
80,Back For Good,Take That,"['E', 'F#m', 'A', 'B']",E
81,Back For Good,Take That,"['A', 'B', 'E', 'F#m']",E
82,Back For Good,Take That,"['B', 'E', 'F#m', 'A']",E
83,Back For Good,Take That,"['B', 'E', 'F#m']",E
84,Sing,Travis,"['G', 'D', 'Am', 'Am', 'G']",G
85,Sing,Travis,"['G', 'D', 'Am', 'Am', 'G']",G
86,Sing,Travis,"['Am', 'G', 'G', 'D']",G
87,Sing,Travis,"['Em', 'Am', 'Em']",C
88,Youre Still The One,Shania Twain,"['A', 'D', 'G', 'A', 'D', 'G', 'Em', 'A', 'D', 'G']",D
89,Youre Still The One,Shania Twain,"['D', 'G', 'A', 'D', 'G', 'A', 'D', 'G', 'A']",D
90,Youre Still The One,Shania Twain,"['A', 'D', 'G', 'A', 'D', 'G', 'A', 'D', 'G']",D
91,Youre Still The One,Shania Twain,"['A', 'D', 'G', 'A', 'D', 'G', 'Em']",D
92,Youre Still The One,Shania Twain,"['D', 'G', 'A']",D
93,Youre Still The One,Shania Twain,"['A', 'D', 'G']",D
94,Youre Still The One,Shania Twain,"['D', 'G', 'A']",D
95,Youre Still The One,Shania Twain,"['A', 'D', 'G']",D
96,Hows It Going To Be,Third Eye Blind,"['A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D']",D
97,Hows It Going To Be,Third Eye Blind,"['D', 'A', 'G']",D
98,Hows It Going To Be,Third Eye Blind,"['A', 'G', 'D']",D
99,Hows It Going To Be,Third Eye Blind,"['G', 'Em', 'D', 'A', 'Em', 'D']",D
100,Hows It Going To Be,Third Eye Blind,"['G', 'D', 'A']",D
101,Hows It Going To Be,Third Eye Blind,"['Em', 'G', 'D', 'A']",D
102,Hows It Going To Be,Third Eye Blind,"['D', 'A', 'G']",D
103,Hows It Going To Be,Third Eye Blind,"['A', 'G', 'D']",D
104,Hows It Going To Be,Third Eye Blind,"['G', 'D', 'A']",D
105,Jumper,Third Eye Blind,"['C', 'G', 'Am']",C
106,Drops Of Jupiter,Train,"['F', 'C', 'G', 'F']",C
107,Drops Of Jupiter,Train,"['F', 'C', 'G']",C
108,Angel,Shaggy,"['G', 'C', 'D', 'C']",G
109,Angel,Shaggy,"['G', 'C', 'D', 'C', 'G', 'C', 'D']",G
110,Angel,Shaggy,"['G', 'C', 'D', 'C']",G
111,Angel,Shaggy,"['G', 'C', 'D']",G
112,Black Magic Woman - Gypsy Queen,Santana,"['Dm', 'Dm', 'Am7', 'Dm', 'Gm', 'Dm', 'Am7']",Bb
113,Black Magic Woman - Gypsy Queen,Santana,"['Dm', 'Am7', 'Dm', 'Dm', 'Am7', 'Dm', 'Gm6']",Bb
114,Black Magic Woman - Gypsy Queen,Santana,"['Dm', 'Am7', 'Dm']",C
115,Englishman In New York,Sting,"['Em', 'A', 'Bm', 'Em', 'A', 'Bm', 'Em', 'A', 'Bm']",D
116,Englishman In New York,Sting,"['Bm', 'Em', 'A', 'Bm', 'Em', 'A', 'Bm', 'Em', 'A']",D
117,Englishman In New York,Sting,"['Em', 'A', 'Bm']",D
118,Englishman In New York,Sting,"['Bm', 'Em', 'A']",D
119,Englishman In New York,Sting,"['Em', 'A', 'Bm']",D
120,Englishman In New York,Sting,"['Bm', 'Em', 'A']",D
121,Two Princes,Spin Doctors,"['D', 'Bm', 'A', 'G']",D
122,Two Princes,Spin Doctors,"['D', 'Bm', 'A', 'G']",D
123,What I Got,Sublime,"['D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G']",D
124,What I Got,Sublime,"['D', 'G']",D
125,What I Got,Sublime,"['D', 'G', 'D', 'G', 'D', 'G']",D
126,What I Got,Sublime,"['D', 'G']",D
127,Kiss Me,Sixpence None the Richer,"['Dm', 'G', 'C', 'Am', 'Dm', 'G', 'C', 'C7']",C
128,Kiss Me,Sixpence None the Richer,"['Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'D7']",D
129,All For You,Sister Hazel,"['Am', 'D', 'G', 'Cadd9']",G
130,All For You,Sister Hazel,"['G', 'Cadd9', 'Am', 'D']",G
131,All For You,Sister Hazel,"['Am', 'D', 'G', 'Cadd9']",G
132,All For You,Sister Hazel,"['G', 'Cadd9', 'Am', 'D']",G
133,Disarm,The Smashing Pumpkins,"['Em7', 'Cadd9', 'G', 'Dsus/F#']",G
134,Disarm,The Smashing Pumpkins,"['Em7', 'Cadd9', 'G', 'Dsus/F#']",G
135,Disarm,The Smashing Pumpkins,"['Dsus', 'Cadd9', 'Cadd9', 'Em7']",G
136,Disarm,The Smashing Pumpkins,"['Cadd9', 'Dsus', 'Dsus', 'Em7']",G
137,Truly Madly Deeply,Savage Garden,"['G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F']",C
138,Truly Madly Deeply,Savage Garden,"['G', 'F', 'G', 'C']",C
139,Truly Madly Deeply,Savage Garden,"['G', 'F', 'G', 'C', 'G', 'F']",C
140,Truly Madly Deeply,Savage Garden,"['C', 'G', 'F', 'G', 'C', 'G']",C
141,Truly Madly Deeply,Savage Garden,"['C', 'G', 'F', 'G', 'C']",C
142,Truly Madly Deeply,Savage Garden,"['C', 'G', 'F', 'G']",C
143,Truly Madly Deeply,Savage Garden,"['G', 'F', 'G', 'C']",C
144,Truly Madly Deeply,Savage Garden,"['G', 'C', 'G', 'F']",C
145,Grow Old With You,Adam Sandler,"['D', 'A', 'E']",A
146,Wild Horses,The Rolling Stones,"['C', 'Bm', 'G', 'Bm', 'G', 'Am7', 'C', 'D', 'G', 'D']",G
147,You Cant Always Get What You Want,The Rolling Stones,"['G', 'Gadd9', 'G', 'C']",G
148,You Cant Always Get What You Want,The Rolling Stones,"['C', 'G', 'Gadd9', 'G']",C
149,You Cant Always Get What You Want,The Rolling Stones,"['G', 'Gadd9', 'G', 'C']",G
150,You Cant Always Get What You Want,The Rolling Stones,"['C', 'G', 'Gadd9', 'G']",C
151,You Cant Always Get What You Want,The Rolling Stones,"['G', 'Gadd9', 'G']",G
152,Paint It Black,The Rolling Stones,"['Em', 'Em', 'D', 'G', 'D']",G
153,Ruby Tuesday,The Rolling Stones,"['G', 'C']",G
154,Ruby Tuesday,The Rolling Stones,"['G', 'Am', 'D7']",G
155,Under My Thumb,The Rolling Stones,"['D', 'F#m', 'E']",A
156,Under My Thumb,The Rolling Stones,"['F#m', 'E', 'D']",A
157,Karma Police,Radiohead,"['D', 'G', 'G']",D
158,Fake Plastic Trees,Radiohead,"['A', 'F#m7', 'E', 'E6', 'D5', 'A', 'D5']",A
159,Fake Plastic Trees,Radiohead,"['Bm7', 'A', 'Asus']",D
160,Fake Plastic Trees,Radiohead,"['A', 'Bm7', 'Asus']",A
161,High And Dry,Radiohead,"['B/F#', 'A', 'E', 'E']",E
162,High And Dry,Radiohead,"['E', 'B/F#', 'A', 'E']",E
163,High And Dry,Radiohead,"['B/F#', 'A', 'E', 'E']",E
164,High And Dry,Radiohead,"['E', 'B/F#', 'A', 'E']",E
165,High And Dry,Radiohead,"['E', 'B/F#', 'A']",E
166,You Dont Know How It Feels,Tom Petty,"['E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A']",E
167,You Dont Know How It Feels,Tom Petty,"['A', 'E', 'D', 'A', 'E', 'D', 'A', 'E', 'D', 'A']",A
168,You Dont Know How It Feels,Tom Petty,"['E', 'A']",E
169,You Dont Know How It Feels,Tom Petty,"['A', 'E']",A
170,You Dont Know How It Feels,Tom Petty,"['A', 'E', 'D', 'A', 'E', 'D', 'A']",A
171,You Dont Know How It Feels,Tom Petty,"['E', 'A', 'E', 'A', 'E', 'A']",E
172,You Dont Know How It Feels,Tom Petty,"['A', 'E', 'A', 'E', 'A', 'E']",A
